FinancialYear,HBR,HBRQF,AgeGroup,Sex,Dataset,DatasetQF,DischargeCount,DischargeRates,DischargeRatesQF,PatientsCount,PatientsRates,PatientRatesQF
1997/98,S92000003,d,0-17 years,Male,Total,d,780,133.93,d,695,119.33,d
1997/98,S92000003,d,0-17 years,Female,Total,d,715,128.15,d,610,109.33,d
1997/98,S92000003,d,18-24 years,Male,Total,d,2020,913.05,d,1365,616.99,d
1997/98,S92000003,d,18-24 years,Female,Total,d,1310,589.16,d,860,386.78,d
1997/98,S92000003,d,25-39 years,Male,Total,d,6450,1123.62,d,4240,738.63,d
1997/98,S92000003,d,25-39 years,Female,Total,d,4895,816.79,d,3055,509.77,d
1997/98,S92000003,d,40-64 years,Male,Total,d,7280,968.46,d,4925,655.17,d
1997/98,S92000003,d,40-64 years,Female,Total,d,5395,686.97,d,3650,464.77,d
1997/98,S92000003,d,65plus years,Male,Total,d,5085,1624.95,d,3400,1086.49,d
1997/98,S92000003,d,65plus years,Female,Total,d,7860,1650.94,d,5570,1169.94,d
1998/99,S92000003,d,0-17 years,Male,Total,d,780,134.98,d,700,121.13,d
1998/99,S92000003,d,0-17 years,Female,Total,d,715,129.31,d,585,105.8,d
1998/99,S92000003,d,18-24 years,Male,Total,d,1900,871.51,d,1300,596.3,d
1998/99,S92000003,d,18-24 years,Female,Total,d,1360,619.8,d,890,405.6,d
1998/99,S92000003,d,25-39 years,Male,Total,d,6515,1150.9,d,4265,753.43,d
1998/99,S92000003,d,25-39 years,Female,Total,d,4895,824.29,d,3145,529.6,d
1998/99,S92000003,d,40-64 years,Male,Total,d,7165,941.19,d,4885,641.69,d
1998/99,S92000003,d,40-64 years,Female,Total,d,5480,689.26,d,3750,471.67,d
1998/99,S92000003,d,65plus years,Male,Total,d,5185,1642.14,d,3520,1114.82,d
1998/99,S92000003,d,65plus years,Female,Total,d,7900,1656.77,d,5595,1173.37,d
1999/00,S92000003,d,0-17 years,Male,Total,d,735,128.47,d,655,114.49,d
1999/00,S92000003,d,0-17 years,Female,Total,d,660,120.6,d,565,103.24,d
1999/00,S92000003,d,18-24 years,Male,Total,d,2125,970.54,d,1470,671.39,d
1999/00,S92000003,d,18-24 years,Female,Total,d,1245,565.64,d,850,386.18,d
1999/00,S92000003,d,25-39 years,Male,Total,d,6585,1184.95,d,4200,755.78,d
1999/00,S92000003,d,25-39 years,Female,Total,d,4485,765.49,d,2950,503.5,d
1999/00,S92000003,d,40-64 years,Male,Total,d,7530,976.14,d,5030,652.06,d
1999/00,S92000003,d,40-64 years,Female,Total,d,5545,688.46,d,3840,476.77,d
1999/00,S92000003,d,65plus years,Male,Total,d,5055,1587.9,d,3395,1066.45,d
1999/00,S92000003,d,65plus years,Female,Total,d,7305,1532.32,d,5235,1098.11,d
2000/01,S92000003,d,0-17 years,Male,Total,d,735,129.63,d,650,114.64,d
2000/01,S92000003,d,0-17 years,Female,Total,d,575,106.28,d,515,95.19,d
2000/01,S92000003,d,18-24 years,Male,Total,d,2090,954,d,1405,641.32,d
2000/01,S92000003,d,18-24 years,Female,Total,d,1220,554.89,d,855,388.88,d
2000/01,S92000003,d,25-39 years,Male,Total,d,6465,1191.06,d,4125,759.96,d
2000/01,S92000003,d,25-39 years,Female,Total,d,4635,803.34,d,2920,506.09,d
2000/01,S92000003,d,40-64 years,Male,Total,d,7520,962.57,d,5050,646.4,d
2000/01,S92000003,d,40-64 years,Female,Total,d,5510,675.65,d,3760,461.06,d
2000/01,S92000003,d,65plus years,Male,Total,d,4745,1474.39,d,3140,975.67,d
2000/01,S92000003,d,65plus years,Female,Total,d,7020,1469.68,d,4980,1042.59,d
2001/02,S92000003,d,0-17 years,Male,Total,d,720,128.1,d,620,110.31,d
2001/02,S92000003,d,0-17 years,Female,Total,d,625,116.7,d,530,98.97,d
2001/02,S92000003,d,18-24 years,Male,Total,d,2020,915.51,d,1335,605.05,d
2001/02,S92000003,d,18-24 years,Female,Total,d,1130,514.22,d,790,359.5,d
2001/02,S92000003,d,25-39 years,Male,Total,d,6425,1207.72,d,3995,750.95,d
2001/02,S92000003,d,25-39 years,Female,Total,d,4515,795.79,d,2880,507.61,d
2001/02,S92000003,d,40-64 years,Male,Total,d,7400,933.96,d,4995,630.43,d
2001/02,S92000003,d,40-64 years,Female,Total,d,5950,719.17,d,3915,473.2,d
2001/02,S92000003,d,65plus years,Male,Total,d,4630,1417.16,d,3115,953.44,d
2001/02,S92000003,d,65plus years,Female,Total,d,6675,1389.26,d,4740,986.53,d
2002/03,S92000003,d,0-17 years,Male,Total,d,620,111.44,d,520,93.46,d
2002/03,S92000003,d,0-17 years,Female,Total,d,585,110.12,d,495,93.18,d
